1,d1,3-4-3
2,b2
3,d2
4,f2
5,a3
6,g3
7,c3
8,e3
9,b4
10,f4
11,d5
12,d1,3-4-1-2
13,b2
14,d2
15,f2
16,a3
17,g3
18,c3
19,e3
20,d4
21,c5
22,e5
23,d1,3-4-2-1
24,b2
25,d2
26,f2
27,g3
28,c3
29,e3
30,a3
31,b4
32,f4
33,d5
34,d1,3-5-2
35,b2
36,d2
37,f2
38,g3
39,d3
40,c3
41,e3
42,a4
43,c5
44,e5
45,d1,3-5-1-1
46,b2
47,d2
48,f2
49,c3
50,e3
51,d3
52,a4
53,g4
54,d4
55,d5
56,d1,4-3-3
57,a2
58,c2
59,e2
60,g2
61,d3
62,b3
63,f3
64,b4
65,f4
66,d5
67,d1,4-3-1-2
68,a2
69,c2
70,e2
71,g2
72,d3
73,b3
74,f3
75,d4
76,c5
77,e5
78,d1,4-4-2
79,a2
80,c2
81,e2
82,g2
83,g3
84,c3
85,e3
86,a4
87,c5
88,e5
89,d1,4-1-4-1
90,a2
91,c2
92,e2
93,g2
94,d3
95,c4
96,a4
97,e4
98,g4
99,d5
100,d1,4-4-1-1
101,a2
102,c2
103,e2
104,g2
105,c3
106,e3
107,a3
108,g3
109,d4
110,d5
111,d1,4-2-3-1
112,a2
113,c2
114,e2
115,g2
116,c3
117,e3
118,d4
119,b4
120,f4
121,d5
122,d1,4-3-2-1
123,a2
124,c2
125,e2
126,g2
127,d3
128,b3
129,f3
130,c4
131,e4
132,d5
