id,first_name,name,nationality,club_name,position1,position2,position3,tm_url
,Tim,Ream,us,Fulham,Dc,,,https://www.transfermarkt.com/tim-ream/profil/spieler/145466
,Maxime,Le Marchand,fr,Fulham,Dc,,,https://www.transfermarkt.com/maxime-le-marchand/profil/spieler/60558
,Cyrus,Christie,ie,Fulham,Dd,,,https://www.transfermarkt.com/cyrus-christie/profil/spieler/158623
,Joe,Bryan,gb-eng,Fulham,Ds,E,,https://www.transfermarkt.com/joe-bryan/profil/spieler/194460
,Steven,Sessegnon,gb-eng,Fulham,Dd,,,https://www.transfermarkt.com/steven-sessegnon/profil/spieler/406558
,Antonee,Robinson,us,Fulham,Ds,E,,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701
,Jean Michael,Seri,ci,Fulham,C,,,https://www.transfermarkt.com/jean-michael-seri/profil/spieler/178614
,Kevin,McDonald,gb-sct,Fulham,M,C,,https://www.transfermarkt.com/kevin-mcdonald/profil/spieler/36529
,Neeskens,Kebano,cd,Fulham,W,,,https://www.transfermarkt.com/neeskens-kebano/profil/spieler/111422
,Stefan,Johansen,no,Fulham,C,,,https://www.transfermarkt.com/stefan-johansen/profil/spieler/62008
,Tom,Cairney,gb-sct,Fulham,C,,,https://www.transfermarkt.com/tom-cairney/profil/spieler/123275
,Josh,Onomah,gb-eng,Fulham,C,T,,https://www.transfermarkt.com/josh-onomah/profil/spieler/243589
,Andre,Zambo Anguissa,cm,Fulham,M,,,https://www.transfermarkt.com/andre-zambo-anguissa/profil/spieler/354361
,Mario,Lemina,ga,Fulham,M,,,https://www.transfermarkt.com/mario-lemina/profil/spieler/170934
,Harrison,Reed,gb-eng,Fulham,M,C,,https://www.transfermarkt.com/harrison-reed/profil/spieler/226973
,Aleksandar,Mitrovic,rs,Fulham,Pc,,,https://www.transfermarkt.com/aleksandar-mitrovic/profil/spieler/51152
,Bobby,Reid,jm,Fulham,A,,,https://www.transfermarkt.com/bobby-reid/profil/spieler/186186
,Ivan,Cavaleiro,pt,Fulham,A,,,https://www.transfermarkt.com/ivan-cavaleiro/profil/spieler/149716
,Aboubakar,Kamara,fr,Fulham,W,A,,https://www.transfermarkt.com/aboubakar-kamara/profil/spieler/290951
,Kiko,Casilla,es,Leeds,Por,,,https://www.transfermarkt.com/kiko-casilla/profil/spieler/27486
,Luke,Ayling,gb-eng,Leeds,Dd,,,https://www.transfermarkt.com/luke-ayling/profil/spieler/67420
,Barry,Douglas,gb-sct,Leeds,Ds,,,https://www.transfermarkt.com/barry-douglas/profil/spieler/91854
,Liam,Cooper,gb-sct,Leeds,Dc,,,https://www.transfermarkt.com/liam-cooper/profil/spieler/75067
,Gaetano,Berardi,ch,Leeds,Dd,,,https://www.transfermarkt.com/gaetano-berardi/profil/spieler/43084
,Pascal,Struijk,nl,Leeds,Dc,,,https://www.transfermarkt.com/pascal-struijk/profil/spieler/410708
,Robbie,Gotts,gb-eng,Leeds,C,E,,https://www.transfermarkt.com/robbie-gotts/profil/spieler/534698
,Leif,Davis,gb-eng,Leeds,Ds,,,https://www.transfermarkt.com/leif-davis/profil/spieler/596446
,Robin,Koch,de,Leeds,Dc,,,https://www.transfermarkt.com/robin-koch/profil/spieler/328784
,Adam,Forshaw,gb-eng,Leeds,C,,,https://www.transfermarkt.com/adam-forshaw/profil/spieler/121257
,Ezgjan,Alioski,mk,Leeds,Ds,E,,https://www.transfermarkt.com/ezgjan-alioski/profil/spieler/129604
,Stuart,Dallas,gb-nir,Leeds,Ds,,,https://www.transfermarkt.com/stuart-dallas/profil/spieler/158764
,Pablo,Hernandez,es,Leeds,T,,,https://www.transfermarkt.com/pablo-hernandez/profil/spieler/46220
,Kalvin,Phillips,gb-eng,Leeds,M,,,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749
,Mateusz,Klich,pl,Leeds,C,,,https://www.transfermarkt.com/mateusz-klich/profil/spieler/92738
,Jamie,Shackleton,gb-eng,Leeds,C,,,https://www.transfermarkt.com/jamie-shackleton/profil/spieler/534700
,Jay-Roy,Grot,nl,Leeds,Pc,,,https://www.transfermarkt.com/jay-roy-grot/profil/spieler/360517
,Jack,Harrison,gb-eng,Leeds,W,,,https://www.transfermarkt.com/jack-harrison/profil/spieler/417346
,Ian,Poveda,gb-eng,Leeds,W,,,https://www.transfermarkt.com/ian-poveda/profil/spieler/392763
,Patrick,Bamford,gb-eng,Leeds,Pc,,,https://www.transfermarkt.com/patrick-bamford/profil/spieler/183334
,Tyler,Roberts,gb-wls,Leeds,Pc,,,https://www.transfermarkt.com/tyler-roberts/profil/spieler/296986
,Joe,Gelhardt,gb-eng,Leeds,Pc,,,https://www.transfermarkt.com/joe-gelhardt/profil/spieler/503980
,Rodrigo,Moreno,es,Leeds,Pc,,,https://www.transfermarkt.com/rodrigo/profil/spieler/131505
,Fousseni,Diabate,ml,Leicester,A,,,https://www.transfermarkt.com/fousseni-diabate/profil/spieler/364861
,Admiral,Muskwe,zw,Leicester,Pc,,,https://www.transfermarkt.com/admiral-muskwe/profil/spieler/314378
,George,Hirst,gb-eng,Leicester,Pc,,,https://www.transfermarkt.com/george-hirst/profil/spieler/420808
,Josh,Eppiah,be,Leicester,Pc,,,https://www.transfermarkt.com/josh-eppiah/profil/spieler/455917
,Islam,Slimani,dz,Leicester,Pc,,,https://www.transfermarkt.com/islam-slimani/profil/spieler/174915
,Thakgalo,Leshabela,za,Leicester,C,,,https://www.transfermarkt.com/thakgalo-leshabela/profil/spieler/461882
,Kiernan,Dewsbury-Hall,gb-eng,Leicester,M,,,https://www.transfermarkt.com/kiernan-dewsbury-hall/profil/spieler/475188
,Sidnei,Tavares,pt,Leicester,C,,,https://www.transfermarkt.com/sidnei-tavares/profil/spieler/511813
,Adrien,Silva,pt,Leicester,C,,,https://www.transfermarkt.com/adrien-silva/profil/spieler/56810
,Luke,Thomas,gb-eng,Leicester,Ds,,,https://www.transfermarkt.com/luke-thomas/profil/spieler/505194
,Darnell,Johnson,gb-eng,Leicester,Dd,,,https://www.transfermarkt.com/darnell-johnson/profil/spieler/314372
,Josh,Knight,gb-eng,Leicester,Dd,,,https://www.transfermarkt.com/josh-knight/profil/spieler/425026
,Vontae,Daley-Campbell,gb-eng,Leicester,Dd,,,https://www.transfermarkt.com/vontae-daley-campbell/profil/spieler/530732
,Filip,Benkovic,hr,Leicester,Dc,,,https://www.transfermarkt.com/filip-benkovic/profil/spieler/293168
,Loris,Karius,de,Liverpool,Por,,,https://www.transfermarkt.com/loris-karius/profil/spieler/85864
,Kamil,Grabara,pl,Liverpool,Por,,,https://www.transfermarkt.com/kamil-grabara/profil/spieler/346551
,Neco,Williams,gb-eng,Liverpool,Dd,E,,https://www.transfermarkt.com/neco-williams/profil/spieler/503680
,Konstantinos,Tsimikas,gr,Liverpool,Ds,E,,https://www.transfermarkt.com/konstantinos-tsimikas/profil/spieler/338070
,Nathaniel,Phillips,gb-eng,Liverpool,Dc,,,https://www.transfermarkt.com/nathaniel-phillips/profil/spieler/371814
,Ki-Jana,Hoever,nl,Liverpool,Dc,,,https://www.transfermarkt.com/ki-jana-hoever/profil/spieler/485583
,Sepp,van den Berg,nl,Liverpool,Dc,,,https://www.transfermarkt.com/sepp-van-den-berg/profil/spieler/541231
,Billy,Koumetio,fr,Liverpool,Dc,,,https://www.transfermarkt.com/billy-koumetio/profil/spieler/696324
,Marko,Grujic,rs,Liverpool,C,T,,https://www.transfermarkt.com/marko-grujic/profil/spieler/222813
,Sheyi,Ojo,gb-eng,Liverpool,W,,,https://www.transfermarkt.com/sheyi-ojo/profil/spieler/236510
,Rhian,Brewster,gb-eng,Liverpool,Pc,,,https://www.transfermarkt.com/rhian-brewster/profil/spieler/406560
,Ben,Woodburn,gb-wls,Liverpool,T,,,https://www.transfermarkt.com/ben-woodburn/profil/spieler/344015
,Taiwo,Awoniyi,ng,Liverpool,Pc,,,https://www.transfermarkt.com/taiwo-awoniyi/profil/spieler/295313
,Arijanet,Muric,xk,Manchester City,Por,,,https://www.transfermarkt.com/arijanet-muric/profil/spieler/371021
,Taylor,Harwood-Bellis,gb-eng,Manchester City,Dc,,,https://www.transfermarkt.com/taylor-harwood-bellis/profil/spieler/503977
,,Angelino,es,Manchester City,Ds,E,,https://www.transfermarkt.com/angelino/profil/spieler/277179
,Patrick,Roberts,gb-eng,Manchester City,W,,,https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452
,Tommy,Doyle,gb-eng,Manchester City,C,,,https://www.transfermarkt.com/tommy-doyle/profil/spieler/433183
,Cole,Palmer,gb-eng,Manchester City,C,T,,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177
,Adrian,Bernabe,es,Manchester City,T,,,https://www.transfermarkt.com/adrian-bernabe/profil/spieler/466802
,Ferran,Torres,es,Manchester City,W,,,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184
,Marcos,Rojo,ar,Manchester United,Dc,,,https://www.transfermarkt.com/marcos-rojo/profil/spieler/93176
,Ethan,Laird,gb-eng,Manchester United,Dd,,,https://www.transfermarkt.com/ethan-laird/profil/spieler/531679
,Teden,Mengi,gb-eng,Manchester United,Dc,,,https://www.transfermarkt.com/teden-mengi/profil/spieler/548470
,James,Garner,gb-eng,Manchester United,M,C,,https://www.transfermarkt.com/james-garner/profil/spieler/505219
,Ethan,Galbraith,gb-nir,Manchester United,C,,,https://www.transfermarkt.com/ethan-galbraith/profil/spieler/433991
,Donny,van de Beek,nl,Manchester United,C,T,,https://www.transfermarkt.com/donny-van-de-beek/profil/spieler/288255
,Mark,Gillespie,gb-eng,Newcastle,Por,,,https://www.transfermarkt.com/mark-gillespie/profil/spieler/142389
,Jacob,Murphy,gb-eng,Newcastle,W,,,https://www.transfermarkt.com/jacob-murphy/profil/spieler/199527
,Rolando,Aarons,gb-eng,Newcastle,W,,,https://www.transfermarkt.com/rolando-aarons/profil/spieler/258188
,Wes,Foderingham,gb-eng,Sheffield United,Por,,,https://www.transfermarkt.com/wes-foderingham/profil/spieler/61697
,Kean,Bryan,gb-eng,Sheffield United,Dc,,,https://www.transfermarkt.com/kean-bryan/profil/spieler/214928
,Sam,Graham,gb-eng,Sheffield United,Dc,,,https://www.transfermarkt.com/sam-graham/profil/spieler/575633
,Kyron,Gordon,gb-eng,Sheffield United,Dc,,,https://www.transfermarkt.com/kyron-gordon/profil/spieler/746734
,Geaorge,Broadbent,gb-eng,Sheffield United,C,,,https://www.transfermarkt.com/george-broadbent/profil/spieler/804040
,Regan,Slater,gb-eng,Sheffield United,M,,,https://www.transfermarkt.com/regan-slater/profil/spieler/473080
,Zak,Brunt,gb-eng,Sheffield United,T,,,https://www.transfermarkt.com/zak-brunt/profil/spieler/746777
,Callum,Robinson,ie,Sheffield United,A,,,https://www.transfermarkt.com/callum-robinson/profil/spieler/183299
,Antwoine,Hackford,gb-eng,Sheffield United,Pc,,,https://www.transfermarkt.com/antwoine-hackford/profil/spieler/670859
,Fraser,Forster,gb-eng,Southampton,Por,,,https://www.transfermarkt.com/fraser-forster/profil/spieler/52570
,Harry,Lewis,gb-eng,Southampton,Por,,,https://www.transfermarkt.com/harry-lewis/profil/spieler/341043
,Jake,Vokins,gb-eng,Southampton,Ds,,,https://www.transfermarkt.com/jake-vokins/profil/spieler/421424
,Mohammed,Salisu,gh,Southampton,Dc,,,https://www.transfermarkt.com/mohammed-salisu/profil/spieler/563963
,William,Smallbone,ie,Southampton,C,,,https://www.transfermarkt.com/will-smallbone/profil/spieler/444211
,Cameron,Carter-Vickers,us,Tottenham,Dc,,,https://www.transfermarkt.com/cameron-carter-vickers/profil/spieler/341049
,Dennis,Cirkin,gb-eng,Tottenham,Ds,,,https://www.transfermarkt.com/dennis-cirkin/profil/spieler/568006
,Jamie,Bowden,gb-eng,Tottenham,M,,,https://www.transfermarkt.com/jamie-bowden/profil/spieler/504051
,Harvey,White,gb-eng,Tottenham,M,,,https://www.transfermarkt.com/harvey-white/profil/spieler/581598
,Jack,Clarke,gb-eng,Tottenham,W,,,https://www.transfermarkt.com/jack-clarke/profil/spieler/559794
,Sam,Johnstone,gb-eng,West Bromwich,Por,,,https://www.transfermarkt.com/sam-johnstone/profil/spieler/110864
,Darnell,Furlong,gb-eng,West Bromwich,Dd,,,https://www.transfermarkt.com/darnell-furlong/profil/spieler/351755
,Kieran,Gibbs,gb-eng,West Bromwich,Ds,E,,https://www.transfermarkt.com/kieran-gibbs/profil/spieler/44792
,Kyle,Bartley,gb-eng,West Bromwich,Dc,,,https://www.transfermarkt.com/kyle-bartley/profil/spieler/67421
,Semi,Ajayi,ng,West Bromwich,Dc,,,https://www.transfermarkt.com/semi-ajayi/profil/spieler/251912
,Conor,Townsend,gb-eng,West Bromwich,Ds,,,https://www.transfermarkt.com/conor-townsend/profil/spieler/146509
,Ahmed,Hegazi,eg,West Bromwich,Dc,,,https://www.transfermarkt.com/ahmed-hegazy/profil/spieler/111524
,Dara,O'Shea,ie,West Bromwich,Dc,,,https://www.transfermarkt.com/dara-oshea/profil/spieler/401320
,Cedric,Kipre,ci,West Bromwich,Dc,,,https://www.transfermarkt.com/cedric-kipre/profil/spieler/364827
,Jake,Livermore,gb-eng,West Bromwich,M,,,https://www.transfermarkt.com/jake-livermore/profil/spieler/61832
,Matt,Phillips,gb-sct,West Bromwich,W,,,https://www.transfermarkt.com/matt-phillips/profil/spieler/77274
,Kamil,Grosicki,pl,West Bromwich,W,,,https://www.transfermarkt.com/kamil-grosicki/profil/spieler/37920
,Rekeem,Harper,gb-eng,West Bromwich,C,,,https://www.transfermarkt.com/rekeem-harper/profil/spieler/456877
,Oliver,Burke,gb-sct,West Bromwich,A,,,https://www.transfermarkt.com/oliver-burke/profil/spieler/341317
,Romaine,Sawyers,kn,West Bromwich,C,T,,https://www.transfermarkt.com/romaine-sawyers/profil/spieler/113036
,Sam,Field,gb-eng,West Bromwich,M,C,,https://www.transfermarkt.com/sam-field/profil/spieler/387331
,Grady,Diangana,gb-eng,West Bromwich,W,,,https://www.transfermarkt.com/grady-diangana/profil/spieler/342048
,Hal,Robson-Kanu,gb-wls,West Bromwich,Pc,,,https://www.transfermarkt.com/hal-robson-kanu/profil/spieler/65976
,Kenneth,Zohore,dk,West Bromwich,Pc,,,https://www.transfermarkt.com/kenneth-zohore/profil/spieler/135213
,Matheus,Pereira,br,West Bromwich,W,,,https://www.transfermarkt.com/matheus-pereira/profil/spieler/225984
,Charkie,Austin,gb-eng,West Bromwich,Pc,,,https://www.transfermarkt.com/charlie-austin/profil/spieler/129627
,Kyle,Edwards,gb-eng,West Bromwich,W,,,https://www.transfermarkt.com/kyle-edwards/profil/spieler/314366
,Rayhaan,Tulloch,gb-eng,West Bromwich,A,,,https://www.transfermarkt.com/rayhaan-tulloch/profil/spieler/433184
,Ben,Johnson,gb-eng,West Ham,Dd,,,https://www.transfermarkt.com/ben-johnson/profil/spieler/468002
,Andreas,Sondergaard,dk,Wolverhampton,Por,,,https://www.transfermarkt.com/andreas-sondergaard/profil/spieler/462820
,Roderick,Miranda,pt,Wolverhampton,Dc,,,https://www.transfermarkt.com/roderick-miranda/profil/spieler/87856
,Dion,Sanderson,gb-eng,Wolverhampton,Dc,,,https://www.transfermarkt.com/dion-sanderson/profil/spieler/495993
,Oskar,Buur,dk,Wolverhampton,Dd,,,https://www.transfermarkt.com/oskar-buur/profil/spieler/293283
,Christian,Marques,ch,Wolverhampton,Dc,,,https://www.transfermarkt.com/christian-marques/profil/spieler/539807
,Lewis,Richards,ie,Wolverhampton,Ds,,,https://www.transfermarkt.com/lewis-richards/profil/spieler/571827
,Leo,Bonatini,br,Wolverhampton,Pc,,,https://www.transfermarkt.com/leo-bonatini/profil/spieler/181781
,Ebrima,Colley,gm,Atalanta,A,,,https://www.transfermarkt.com/ebrima-colley/profil/spieler/567217
,Roberto,Piccoli,it,Atalanta,Pc,,,https://www.transfermarkt.com/roberto-piccoli/profil/spieler/432092
,Marco,Carnesecchi,it,Atalanta,Por,,,https://www.transfermarkt.com/marco-carnesecchi/profil/spieler/459763
,Pier Graziano,Gori,it,Benevento,Por,,,https://www.transfermarkt.com/pier-graziano-gori/profil/spieler/85270
,Lorenzo,Montipo,it,Benevento,Por,,,https://www.transfermarkt.com/lorenzo-montipo/profil/spieler/241923
,Nicolo,Manfredini,it,Benevento,Por,,,https://www.transfermarkt.com/nicolo-manfredini/profil/spieler/139743
,Federico,Barba,it,Benevento,Dc,Ds,,https://www.transfermarkt.com/federico-barba/profil/spieler/165873
,Gaetano,Letizia,it,Benevento,Dd,Ds,E,https://www.transfermarkt.com/gaetano-letizia/profil/spieler/160560
