id,first_name,name,nationality,club_name,position1,position2,position3,tm_url,national_team
,Mario,Gavranovic,ch,Dinamo Zagreb,Pc,,,https://www.transfermarkt.com/mario-gavranovic/profil/spieler/61380,TRUE
,Haris,Seferovic,ch,Benfica,Pc,,,https://www.transfermarkt.com/haris-seferovic/profil/spieler/109256,TRUE
725,Caglar,Soyuncu,tr,Leicester,Dc,,,https://www.transfermarkt.com/caglar-soyuncu/profil/spieler/320141,TRUE
1904,Ozan,Kabak,tr,Liverpool,Dc,,,https://www.transfermarkt.com/ozan-kabak/profil/spieler/361260,TRUE
71,Cengiz,Under,tr,Leicester,W,A,,https://www.transfermarkt.com/cengiz-under/profil/spieler/341647,TRUE
2060,Okay,Yokuslu,tr,West Bromwich,M,,,https://www.transfermarkt.com/okay-yokuslu/leistungsdaten/spieler/137616,TRUE
1284,Kaan,Ayhan,tr,Sassuolo,Dc,,,https://www.transfermarkt.com/kaan-ayhan/profil/spieler/119031,TRUE
369,Merih,Demiral,tr,Juventus,Dc,,,https://www.transfermarkt.com/merih-demiral/profil/spieler/340879,TRUE
30,Mert,Muldur,tr,Sassuolo,Dc,Dd,E,https://www.transfermarkt.com/mert-muldur/profil/spieler/353922,TRUE
94,Hakan,Calhanoglu,tr,Milan,T,,,https://www.transfermarkt.com/hakan-calhanoglu/profil/spieler/126414,TRUE
,Altay,Bayindir,tr,Fenerbahce,Por,,,https://www.transfermarkt.com/altay-bayindir/profil/spieler/336077,TRUE
,Mert,Gunok,tr,Istanbul Basaksehir,Por,,,https://www.transfermarkt.com/mert-gunok/profil/spieler/51894,TRUE
,Ugurcan,Cakir,tr,Trabzonspor,Por,,,https://www.transfermarkt.com/ugurcan-cakir/profil/spieler/292199,TRUE
,Zeki,Celik,tr,LOSC Lille,Dd,E,,https://www.transfermarkt.com/zeki-celik/profil/spieler/251075,TRUE
,Ridvan,Yilmaz,tr,Besiktas,Ds,E,,https://www.transfermarkt.com/ridvan-yilmaz/profil/spieler/477930,TRUE
,Umut,Meras,tr,Le Havre,Ds,E,,https://www.transfermarkt.com/umut-meras/profil/spieler/341549,TRUE
,Yusuf,Yazici,tr,LOSC Lille,A,,,https://www.transfermarkt.com/yusuf-yazici/profil/spieler/386726,TRUE
,Dorukhan,Tokoz,tr,Besiktas,C,,,https://www.transfermarkt.com/dorukhan-tokoz/profil/spieler/275935,TRUE
,Irfan Can,Kahveci,tr,Fenerbahce,C,,,https://www.transfermarkt.com/irfan-can-kahveci/profil/spieler/216603,TRUE
,Orkun,Kokcu,tr,Feyenoord,C,,,https://www.transfermarkt.com/orkun-kokcu/profil/spieler/454567,TRUE
,Ozan,Tufan,tr,Fenerbahce,C,,,https://www.transfermarkt.com/ozan-tufan/profil/spieler/236471,TRUE
,Taylan,Antalyali,tr,Galatasaray,M,,,https://www.transfermarkt.com/taylan-antalyali/profil/spieler/204176,TRUE
,Burak,Yilmaz,tr,LOSC Lille,Pc,,,https://www.transfermarkt.com/burak-yilmaz/profil/spieler/34987,TRUE
,Enes,Unal,tr,Getafe,Pc,,,https://www.transfermarkt.com/enes-unal/profil/spieler/251106,TRUE
,Abdulkadir,Omur,tr,Trabzonspor,T,W,,https://www.transfermarkt.com/abdulkadir-omur/profil/spieler/271495,TRUE
,Kerem,Akturkoglu,tr,Galatasaray,W,A,,https://www.transfermarkt.com/kerem-akturkoglu/profil/spieler/382528,TRUE
,Halil,Dervisoglu,tr,Brentford,Pc,,,https://www.transfermarkt.com/halil-dervisoglu/profil/spieler/465606,TRUE
,Kenan,Karaman,tr,Fortuna Dusseldorf,Pc,,,https://www.transfermarkt.com/kenan-karaman/profil/spieler/119557,TRUE
676,Wayne,Hennessey,gb-wls,Crystal Palace,Por,,,https://www.transfermarkt.com/wayne-hennessey/profil/spieler/45494,TRUE
722,Danny,Ward,gb-wls,Leicester,Por,,,https://www.transfermarkt.com/danny-ward/profil/spieler/203026,TRUE
581,Chris,Mepham,gb-wls,Bournemouth,Dc,,,https://www.transfermarkt.com/chris-mepham/profil/spieler/480987,TRUE
1490,Joe,Rodon,gb-wls,Tottenham,Dc,,,https://www.transfermarkt.com/joe-rodon/profil/spieler/297212,TRUE
925,Ben,Davies,gb-wls,Tottenham,Ds,E,,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,TRUE
1127,Neco,Williams,gb-wls,Liverpool,Dd,E,,https://www.transfermarkt.com/neco-williams/profil/spieler/503680,TRUE
218,Aaron,Ramsey,gb-wls,Juventus,T,,,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,TRUE
1043,Ethan,Ampadu,gb-wls,Sheffield United,Dc,,,https://www.transfermarkt.com/ethan-ampadu/profil/spieler/392771,TRUE
588,David,Brooks,gb-wls,Bournemouth,T,A,,https://www.transfermarkt.com/david-brooks/profil/spieler/277033,TRUE
598,Harry,Wilson,gb-wls,Liverpool,W,A,,https://www.transfermarkt.com/harry-wilson/profil/spieler/279455,TRUE
812,Daniel,James,gb-wls,Manchester United,T,A,,https://www.transfermarkt.com/daniel-james/profil/spieler/319301,TRUE
1393,Gareth,Bale,gb-wls,Tottenham,A,,,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381,TRUE
1108,Tyler,Roberts,gb-wls,Leeds,Pc,,,https://www.transfermarkt.com/tyler-roberts/profil/spieler/296986,TRUE
,Adam,Davies,gb-wls,Stoke City,Por,,,https://www.transfermarkt.com/adam-davies/profil/spieler/121254,TRUE
,James,Lawrence,gb-wls,St. Pauli,Dc,,,https://www.transfermarkt.com/james-lawrence/profil/spieler/272706,TRUE
,Ben,Cabango,gb-wls,Swansea,Dc,,,https://www.transfermarkt.com/ben-cabango/profil/spieler/496659,TRUE
,Chris,Gunter,gb-wls,Charlton,Dd,E,,https://www.transfermarkt.com/chris-gunter/profil/spieler/43853,TRUE
,Connor,Roberts,gb-wls,Swansea,Dd,E,,https://www.transfermarkt.com/connor-roberts/profil/spieler/214666,TRUE
,Rhys,Norrington-Davies,gb-wls,Sheffield United,Ds,E,,https://www.transfermarkt.com/rhys-norrington-davies/profil/spieler/543164,TRUE
,Matt,Smith,gb-wls,Manchester City,M,C,,https://www.transfermarkt.com/matt-smith/profil/spieler/365877,TRUE
,Joe,Morrell,gb-wls,Luton,C,,,https://www.transfermarkt.com/joe-morrell/profil/spieler/293507,TRUE
,Joe,Allen,gb-wls,Stoke City,C,,,https://www.transfermarkt.com/joe-allen/profil/spieler/51452,TRUE
,Dylan,Levitt,gb-wls,NK Istra,C,,,https://www.transfermarkt.com/dylan-levitt/profil/spieler/496652,TRUE
,Rubin,Colwill,gb-wls,Cardiff,T,,,https://www.transfermarkt.com/rubin-colwill/profil/spieler/626474,TRUE
,Jonathan,Williams,gb-wls,Cardiff,T,A,,https://www.transfermarkt.com/jonathan-williams/profil/spieler/170322,TRUE
,Kieffer,Moore,gb-wls,Cardiff,Pc,,,https://www.transfermarkt.com/kieffer-moore/profil/spieler/275590,TRUE
