id,first_name,name,nationality,club_name,position1,position2,position3,tm_url
208,Stefano,Sabelli,it,Brescia,Dd,E,,https://www.transfermarkt.com/stefano-sabelli/profil/spieler/167491
87,Sandro,Tonali,it,Brescia,M,C,,https://www.transfermarkt.com/sandro-tonali/profil/spieler/397033
282,Ernesto,Torregrossa,it,Brescia,Pc,,,https://www.transfermarkt.com/ernesto-torregrossa/profil/spieler/159883
144,Jaromir,Zmrhal,cz,Brescia,C,W,,https://www.transfermarkt.com/jaromir-zmrhal/profil/spieler/235413
,Jesse,Joronen,fi,Brescia,Por,,,https://www.transfermarkt.com/jesse-joronen/profil/spieler/131758
,Enrico,Alfonso,it,Brescia,Por,,,https://www.transfermarkt.com/enrico-alfonso/profil/spieler/34334
,Lorenzo,Andrenacci,it,Brescia,Por,,,https://www.transfermarkt.com/lorenzo-andrenacci/profil/spieler/234880
,Daniele,Gastaldello,it,Brescia,Dc,,,https://www.transfermarkt.com/daniele-gastaldello/profil/spieler/7096
,Massimiliano,Mangraviti,it,Brescia,Dc,,,https://www.transfermarkt.com/massimiliano-mangraviti/profil/spieler/395805
,Alessandro,Semprini,it,Brescia,Dc,Dd,E,https://www.transfermarkt.com/alessandro-semprini/profil/spieler/315843
,Mattia,Viviani,it,Brescia,M,C,,https://www.transfermarkt.com/mattia-viviani/profil/spieler/403845
,Emanuele,Ndoj,al,Brescia,C,,,https://www.transfermarkt.com/emanuele-ndoj/profil/spieler/287717
,Birkir,Bjarnason,is,Brescia,C,,,https://www.transfermarkt.com/birkir-bjarnason/profil/spieler/34453
,Nikolas,Spalek,sk,Brescia,T,,,https://www.transfermarkt.com/nikolas-spalek/profil/spieler/243239
,Simon,Skrabb,fi,Brescia,T,A,,https://www.transfermarkt.com/simon-skrabb/profil/spieler/187047
,Florian,Aye,fr,Brescia,Pc,,,https://www.transfermarkt.com/florian-aye/profil/spieler/372713
181,Luca,Ceppitelli,it,Cagliari,Dc,,,https://www.transfermarkt.com/luca-ceppitelli/profil/spieler/102745
255,Luca,Cigarini,it,Cagliari,M,C,,https://www.transfermarkt.com/luca-cigarini/profil/spieler/33218
73,,Joao Pedro,br,Cagliari,A,,,https://www.transfermarkt.com/joao-pedro/profil/spieler/129129
206,Ragnar,Klavan,ee,Cagliari,Dc,,,https://www.transfermarkt.com/ragnar-klavan/profil/spieler/26669
142,Radja,Nainggolan,be,Cagliari,C,T,,https://www.transfermarkt.com/radja-nainggolan/profil/spieler/41982
12,Nahitan,Nandez,uy,Cagliari,M,C,,https://www.transfermarkt.com/nahitan-nandez/profil/spieler/315063
289,Christian,Oliva,uy,Cagliari,M,,,https://www.transfermarkt.com/christian-oliva/profil/spieler/563812
